# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 54 | GET | http://localhost:3000/auth/sign-in | success - 200 |
| 55 | GET | http://localhost:3000/_next/static/chunks/src_globals_0w~2ivr.css | failed - 304 |
| 56 | GET | http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js | failed - 304 |
| 57 | GET | http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js | failed - 304 |
| 58 | GET | http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js | failed - 304 |
| 59 | GET | http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js | failed - 304 |
| 60 | GET | http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js | failed - 304 |
| 61 | GET | http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js | failed - 304 |
| 62 | GET | http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js | failed - 304 |
| 63 | GET | http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js | failed - 304 |
| 64 | GET | http://localhost:3000/_next/static/chunks/_0rqeker._.js | failed - 304 |
| 65 | GET | http://localhost:3000/_next/static/chunks/turbopack-_0p44nws._.js | failed - 304 |
| 66 | GET | http://localhost:3000/_next/static/chunks/node_modules_07jxet_._.js | failed - 304 |
| 67 | GET | http://localhost:3000/_next/static/chunks/src_components_shared_ClientLayout_tsx_013jo0z._.js | failed - 304 |
| 68 | GET | http://localhost:3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js | failed - 304 |
| 69 | GET | http://localhost:3000/_next/static/chunks/node_modules_0doiqhy._.js | failed - 304 |
| 70 | GET | http://localhost:3000/_next/static/chunks/src_0ipgedh._.js | failed - 304 |
| 71 | GET | http://localhost:3000/_next/static/chunks/src_app_auth_sign-in_page_tsx_0xoxc~-._.js | failed - 304 |
| 72 | GET | http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_0xoxc~-.js | failed - 304 |
| 73 | GET | http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js | failed - 304 |
| 74 | GET | http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10mygs7._.js | failed - 304 |
| 75 | GET | http://localhost:3000/__nextjs_font/geist-latin.woff2 | success - 200 |
